"WEBADDR","UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","addr_recoded","latitude","longitude"
"apu.ac.jp",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"rivier.edu",183211,"Rivier University","420 South Main St","Nashua","NH","03060",33,"420 South Main St, Nashua, NH",42.738809,-71.4579153
"roanoke.edu",233426,"Roanoke College","221 College Lane","Salem","VA","24153-3794",51,"221 College Lane, Salem, VA",37.294721,-80.056648
"rgu.ac.uk",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"robertmorris.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"rmu.edu",215655,"Robert Morris University","6001 University Boulevard","Moon Township","PA","15108-1189",42,"6001 University Boulevard, Moon Township, PA",40.52155855,-80.2115783186275
"roberts.edu",194958,"Roberts Wesleyan University","2301 Westside Dr","Rochester","NY","14624",36,"2301 Westside Dr, Rochester, NY",43.1255548,-77.8007055
"rc.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"rit.edu",195003,"Rochester Institute of Technology","1 Lomb Memorial Dr","Rochester","NY","14623-5603",36,"1 Lomb Memorial Dr, Rochester, NY",43.0867539,-77.6671524
"rockford.edu",148405,"Rockford University","5050 E State St","Rockford","IL","61108-2311",17,"5050 E State St, Rockford, IL",42.2683388,-89.0186733800292
"rockhurst.edu",179043,"Rockhurst University","1100 Rockhurst Rd","Kansas City","MO","64110-2561",29,"1100 Rockhurst Rd, Kansas City, MO",39.03081885,-94.5706750446463
"rocky.edu",180595,"Rocky Mountain College","1511 Poly Drive","Billings","MT","59102-1796",30,"1511 Poly Drive, Billings, MT",45.79702385,-108.554819649561
"rmcad.edu",127945,"Rocky Mountain College of Art and Design","1600 Pierce St","Lakewood","CO","80214",8,"1600 Pierce St, Lakewood, CO",39.742249,-105.071893
"rwu.edu",217518,"Roger Williams University","One Old Ferry Road","Bristol","RI","02809-2921",44,"One Old Ferry Road, Bristol, RI",NA,NA
"rsu.edu",207661,"Rogers State University","1701 W Will Rogers Blvd","Claremore","OK","74017-3252",40,"1701 W Will Rogers Blvd, Claremore, OK",36.31860995,-95.6361136851433
"rollins.edu",136950,"Rollins College","1000 Holt Avenue","Winter Park","FL","32789-4499",12,"1000 Holt Avenue, Winter Park, FL",28.592883,-81.3508424191553
"roosevelt.edu",148487,"Roosevelt University","430 S Michigan Ave","Chicago","IL","60605-1394",17,"430 S Michigan Ave, Chicago, IL",41.8760694,-87.6251730970996
"rose-hulman.edu",152318,"Rose-Hulman Institute of Technology","5500 Wabash Avenue","Terre Haute","IN","47803-3920",18,"5500 Wabash Avenue, Terre Haute, IN",39.4835069,-87.329337
"rosemont.edu",215691,"Rosemont College","1400 Montgomery Ave","Rosemont","PA","19010-1699",42,"1400 Montgomery Ave, Rosemont, PA",40.033512,-75.32689
"rowan.edu",184782,"Rowan University","201 Mullica Hill Road","Glassboro","NJ","08028",34,"201 Mullica Hill Road, Glassboro, NJ",39.7103526,-75.1193266647699
"rush.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"rustcollege.edu",176318,"Rust College","150 Rust Avenue","Holly Springs","MS","38635",28,"150 Rust Avenue, Holly Springs, MS",34.7762325,-89.447318465734
"camden.rutgers.edu",186371,"Rutgers University-Camden","406 Penn Street","Camden","NJ","08102",34,"406 Penn Street, Camden, NJ",39.9479335,-75.1213321803482
"ugadm.rutgers.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"admissions.rutgers.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"ryerson.ca",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"shms.edu",172033,"Sacred Heart Major Seminary","2701 Chicago Blvd","Detroit","MI","48206-1799",26,"2701 Chicago Blvd, Detroit, MI",42.3744729,-83.1111900917562
"sacredheart.edu",130253,"Sacred Heart University","5151 Park Ave","Fairfield","CT","06825-1000",9,"5151 Park Ave, Fairfield, CT",41.22259745,-73.2444672963335
"sage.edu",195128,"Russell Sage College","65 1st Street","Troy","NY","12180",36,"65 1st Street, Troy, NY",42.7284036,-73.6937326781957
"svsu.edu",172051,"Saginaw Valley State University","7400 Bay Rd","University Center","MI","48710",26,"7400 Bay Rd, University Center, MI",43.514286,-83.9638839592606
"sagu.edu",228325,"Southwestern Assemblies of God University","1200 Sycamore","Waxahachie","TX","75165",48,"1200 Sycamore, Waxahachie, TX",32.40735495,-96.8529566055351
"anselm.edu",183239,"Saint Anselm College","100 Saint Anselm Drive","Manchester","NH","03102-1310",33,"100 Saint Anselm Drive, Manchester, NH",NA,NA
"st-aug.edu",199582,"Saint Augustine's University","1315 Oakwood Avenue","Raleigh","NC","27610-2298",37,"1315 Oakwood Avenue, Raleigh, NC",35.7871647887062,-78.6174499889218
"francis.edu",215743,"Saint Francis University","117 Evergreen Dr","Loretto","PA","15940",42,"117 Evergreen Dr, Loretto, PA",40.5034672,-78.6382564
"sjcme.edu",161518,"Saint Joseph's College of Maine","278 Whites Bridge Rd","Standish","ME","04084-5263",23,"278 Whites Bridge Rd, Standish, ME",43.8263951,-70.4820689058537
"sju.edu",215770,"Saint Joseph's University","5600 City Avenue","Philadelphia","PA","19131-1395",42,"5600 City Avenue, Philadelphia, PA",39.995209,-75.239086
"saintleo.edu",137032,"Saint Leo University","33701 State Road 52","Saint Leo","FL","33574-6665",12,"33701 State Road 52, Saint Leo, FL",28.335666,-82.2509197777778
"slu.edu",179159,"Saint Louis University","One North Grand Blvd","Saint Louis","MO","63103-2097",29,"One North Grand Blvd, Saint Louis, MO",NA,NA
"stmartin.edu",236452,"Saint Martin's University","5000 Abbey Way SE","Lacey","WA","98503-7500",53,"5000 Abbey Way SE, Lacey, WA",47.03970005,-122.822419076072
"smwc.edu",152381,"Saint Mary-of-the-Woods College","1 St Mary of Woods Coll","Saint Mary of the Woods","IN","47876-1099",18,"1 St Mary of Woods Coll, Saint Mary of the Woods, IN",NA,NA
